city,state,install_count,total_kw_installed,avg_kw_per_install,population,households,ghi_annual,dni_annual,tilt_annual,electricity_rate_per_kwh,current_annual_gen_kwh,current_annual_savings_usd,solar_adoption_rate_pct,full_adoption_kw,full_adoption_annual_kwh,full_adoption_savings_usd,additional_savings_possible
POMONA,CA,10,2339.2,233.92,152679.0,60348.0,5.31,5.94,6.07,0.244956,4146092.0,1015610.0,0.02,14116604.16,25020833877.0,6129003383.0,6127987773.0
RANCHO CUCAMONGA,CA,43,6132.211,142.6095581395349,175531.0,69380.0,5.38,6.28,6.14,0.244956,10994318.0,2693124.0,0.06,9894251.14372093,17739204991.0,4345324698.0,4342631574.0
PAICINES,CA,1,516.0,516.0,45806.0,18105.0,5.25,6.23,6.03,0.244956,908552.0,222555.0,0.01,9342180.0,16449336857.0,4029363759.0,4029141204.0
CHULA VISTA,CA,143,12157.565,85.01793706293707,272585.0,107741.0,5.38,6.05,6.14,0.244956,21797055.0,5339319.0,0.13,9159917.557097903,16422632990.0,4022822487.0,4017483168.0
SAN DIEGO,CA,1340,20911.93,15.605917910447761,1442351.0,570098.0,5.21,5.61,5.95,0.244956,36332387.0,8899836.0,0.24,8896902.588910447,15457478558.0,3786402118.0,3777502282.0
PEMBROKE PINES,FL,111,13254.76,119.41225225225226,347204.0,137236.0,4.91,4.58,5.34,0.141368,20667882.0,2921777.0,0.08,16387659.85009009,25552950251.0,3612369471.0,3609447694.0
HUNTERSVILLE,NC,1,469.2,469.2,71657.0,28323.0,4.5,4.61,5.18,0.141333,709693.0,100303.0,0.0,13289151.6,20100639144.0,2840883632.0,2840783329.0
HESPERIA,CA,1,140.0,140.0,88706.0,35062.0,5.86,7.97,6.78,0.244956,277166.0,67893.0,0.0,4908680.0,9718008317.0,2380484445.0,2380416552.0
WEST COVINA,CA,1,300.0,300.0,44710.0,17672.0,5.23,5.63,5.96,0.244956,522096.0,127891.0,0.01,5301600.0,9226480512.0,2260081760.0,2259953869.0
CHARLOTTE,NC,23,963.33,41.883913043478266,611323.0,241630.0,4.52,4.62,5.19,0.141333,1459907.0,206333.0,0.01,10120409.908695653,15337278808.0,2167663626.0,2167457293.0
BELLINGHAM,WA,8,1494.68,186.835,130296.0,51500.0,3.36,3.27,3.9,0.118982,1702142.0,202524.0,0.02,9622002.5,10957536447.0,1303749602.0,1303547078.0
GLENDALE,CA,158,5392.6483333333335,34.13068565400844,203050.0,80257.0,5.32,5.91,6.08,0.244956,9573892.0,2345182.0,0.2,2739226.438533755,4863113050.0,1191248720.0,1188903538.0
WEST HOLLYWOOD,CA,78,4338.301333333334,55.61924786324787,117860.0,46585.0,5.32,5.72,6.07,0.244956,7689379.0,1883560.0,0.17,2591022.661709402,4592432207.0,1124943824.0,1123060264.0
HOL,CA,13,1389.1200000000001,106.85538461538462,59889.0,23672.0,5.18,6.04,5.96,0.244956,2417513.0,592184.0,0.05,2529480.664615385,4402105790.0,1078322226.0,1077730042.0
HAGERSTOWN,MD,10,1199.21,119.921,98861.0,39075.0,4.03,3.92,4.69,0.160657,1642294.0,263846.0,0.03,4685913.075,6417264238.0,1030978421.0,1030714575.0
OAKLAND,CA,3455,41793.527,12.09653458755427,543598.0,214860.0,4.84,5.02,5.54,0.244956,67608553.0,16561121.0,1.61,2599061.4214819106,4204449680.0,1029905176.0,1013344055.0
DALLAS,TX,14,365.755,26.125357142857144,424928.0,167955.0,4.7,4.91,5.27,0.149362,562838.0,84067.0,0.01,4387884.358928571,6752251967.0,1008529858.0,1008445791.0
RENO,NV,1,200.0,200.0,47046.0,18595.0,5.19,7.03,6.15,0.149956,359160.0,53858.0,0.01,3719000.0,6678580200.0,1001493172.0,1001439314.0
COVINA,CA,15,1076.1933333333332,71.74622222222222,81184.0,32088.0,5.24,5.72,5.98,0.244956,1879206.0,460323.0,0.05,2302192.7786666662,4019996942.0,984722371.0,984262048.0
APPLE VALLEY,CA,6,358.58,59.76333333333333,83889.0,33158.0,5.92,8.17,6.88,0.244956,720373.0,176460.0,0.02,1981632.6066666665,3981020641.0,975174892.0,974998432.0
LANCASTER,CA,32,1029.4483333333333,32.170260416666665,152821.0,60404.0,5.86,7.88,6.81,0.244956,2047079.0,501444.0,0.05,1943212.4102083333,3864116742.0,946538581.0,946037137.0
OKLAHOMA CITY,OK,617,7530.4,12.204862236628848,905520.0,357912.0,4.69,5.2,5.39,0.122371,11851946.0,1450334.0,0.17,4368266.652836304,6875127520.0,841316230.0,839865896.0
SUGAR LAND,TX,26,1406.0,54.07692307692308,168209.0,66486.0,4.61,4.27,5.03,0.149362,2065077.0,308444.0,0.04,3595358.307692308,5280718468.0,788738672.0,788430228.0
RIVERSIDE,CA,141,1962.015,13.915000000000001,291537.0,115233.0,5.48,6.36,6.26,0.244956,3586406.0,878512.0,0.12,1603467.195,2931009755.0,717968426.0,717089914.0
LUBBOCK,TX,20,672.455,33.62275,183808.0,72651.0,5.33,6.35,6.13,0.149362,1203668.0,179782.0,0.03,2442726.41025,4372382565.0,653067805.0,652888023.0
MESA,AZ,27,348.91,12.922592592592594,428965.0,169550.0,5.79,7.49,6.7,0.149067,682608.0,101754.0,0.02,2191025.574074074,4286522433.0,638979040.0,638877286.0
COLUMBUS,OH,26,430.0,16.53846153846154,730681.0,288806.0,3.91,3.63,4.44,0.101888,557486.0,56801.0,0.01,4776406.923076924,6192516048.0,630943075.0,630886274.0
FAIRFAX,VA,2,249.36,124.68,61332.0,24242.0,4.17,4.38,4.9,0.144105,356784.0,51414.0,0.01,3022492.56,4324582355.0,623193940.0,623142526.0
RICHMOND,VA,289,5613.842,19.42505882352941,382182.0,151061.0,4.28,4.35,4.99,0.144105,8179817.0,1178753.0,0.19,2934368.8109411765,4275610107.0,616136794.0,614958041.0
LOS ANGELES,CA,89,566.9,6.369662921348314,558446.0,220730.0,5.26,5.59,6.01,0.244956,994864.0,243698.0,0.04,1405975.6966292134,2467374870.0,604398279.0,604154581.0
CORONA,CA,112,2074.995,18.52674107142857,188369.0,74454.0,5.34,5.89,6.08,0.244956,3683863.0,902384.0,0.15,1379389.9797321428,2448913794.0,599876127.0,598973743.0
CHARLOTTESVILLE,VA,32,1891.9133333333334,59.12229166666667,120202.0,47510.0,4.23,4.29,4.95,0.144105,2734572.0,394065.0,0.07,2808900.0770833334,4059984171.0,585064019.0,584669954.0
ANAHEIM,CA,2,57.46666666666667,28.733333333333334,120833.0,47761.0,5.24,5.53,5.96,0.244956,100010.0,24498.0,0.0,1372332.7333333334,2388298102.0,585027950.0,585003452.0
JERSEY CITY,NJ,110,2802.661666666667,25.478742424242427,233704.0,92373.0,3.93,3.79,4.62,0.184167,3780903.0,696318.0,0.12,2353547.8739545457,3175030224.0,584735791.0,584039473.0
FAIRFIELD,CA,28,796.1499999999999,28.433928571428567,120008.0,47434.0,5.04,5.62,5.75,0.244956,1336736.0,327442.0,0.06,1348734.9678571427,2264526011.0,554709234.0,554381792.0
WOODSIDE,CA,43,2600.7816666666668,60.48329457364341,55564.0,21962.0,5.09,5.65,5.83,0.244956,4427467.0,1084535.0,0.2,1328334.1154263567,2261302865.0,553919705.0,552835170.0
SANTA CLARITA,CA,12,559.0,46.583333333333336,63281.0,25013.0,5.55,6.94,6.37,0.244956,1039762.0,254696.0,0.05,1165188.9166666667,2167297993.0,530892647.0,530637951.0
LAKE ELSINORE,CA,150,4951.901666666667,33.012677777777775,89823.0,35503.0,5.48,6.32,6.24,0.244956,9022761.0,2210179.0,0.42,1172049.0991444443,2135567223.0,523120005.0,520909826.0
KANSAS CITY,MO,60,988.53,16.4755,421594.0,166638.0,4.24,4.57,4.96,0.129111,1431708.0,184849.0,0.04,2745444.369,3976281989.0,513381744.0,513196895.0
GPR,TX,138,2564.4833333333336,18.583212560386475,298105.0,117829.0,4.76,5.03,5.34,0.149362,3998748.0,597261.0,0.12,2189641.3527777777,3414263969.0,509961295.0,509364034.0
TEMECULA,CA,122,2697.034,22.10683606557377,127079.0,50228.0,5.53,6.59,6.32,0.244956,4977214.0,1219198.0,0.24,1110382.1619016393,2049143657.0,501950034.0,500730836.0
