CITY,permit_count,median_approval_days,median_total_days,mean_total_days,pct_approved_same_day,median_fee_usd,mean_fee_usd,median_job_value_usd,battery_installs,battery_pct,date_min,date_max,solar_only_median_days,solar_battery_median_days
MONTARA,1,,0.0,0.0,0.0,451.64,451.64,26500.0,0,0.0,,,0.0,
EMERYVILLE,3,,0.0,0.0,0.0,252.61,252.73666666666668,16000.0,0,0.0,2011-01-20,2014-10-30,0.0,
ENCINO,1,,0.0,0.0,0.0,,,,0,0.0,2015-12-22,2015-12-22,,
FREMONT,718,,0.0,5.5,0.0,239.0,291.79623395149787,,29,4.0,,,0.0,0.0
SANTA ROSA,1,0.0,0.0,0.0,100.0,733.0,733.0,,1,100.0,2017-09-07,2017-09-07,,0.0
GILROY,2,,0.0,0.0,0.0,466.43,466.43,49075.0,0,0.0,,,0.0,
ONTARIO,14,,0.0,0.0,0.0,569.0,805.3878571428571,0.0,0,0.0,2011-06-24,2013-05-03,0.0,
SAN PEDRO HILL,4,,0.0,0.0,0.0,,,,0,0.0,2015-07-13,2015-12-15,,
SAN MATEO,1,,0.0,0.0,0.0,346.0,346.0,13500.0,0,0.0,,,0.0,
SAN MARTIN,1,,0.0,0.0,0.0,413.3,413.3,23887.5,0,0.0,,,0.0,
SAN JOSE,213,0.0,0.0,4.6,96.7,,,20000.0,4,1.9,2012-08-06,2018-02-02,0.0,0.0
HUNTINGTON BEACH,85,0.0,0.0,11.7,94.1,107.67,125.18707317073171,,0,0.0,2014-02-26,2019-05-13,,
SAN FERNANDO,1,,0.0,0.0,0.0,,,,0,0.0,2015-11-16,2015-11-16,,
LIVERMORE,2,,0.0,0.0,0.0,248.55,248.55,15498.65,0,0.0,,,0.0,
SAN BRUNO,10,0.0,0.0,5.4,80.0,154.82,154.82,,0,0.0,2014-09-16,2016-05-04,0.0,
MENIFEE,1,0.0,0.0,0.0,100.0,,,0.0,0,0.0,2010-03-08,2010-03-08,0.0,
MENLO PARK,116,0.0,0.0,2.3,0.9,207.5,176.98314606741573,14500.0,0,0.0,2013-02-07,2013-02-07,0.0,
MISSION HILLS,1,,0.0,0.0,0.0,,,,0,0.0,2016-06-22,2016-06-22,,
WOODLAND HILLS,4,,0.0,188.5,0.0,,,,0,0.0,2014-08-14,2015-01-22,,
MOSS BEACH,1,,0.0,0.0,0.0,610.78,610.78,26000.0,0,0.0,,,0.0,
RESEDA,2,,0.0,0.0,0.0,,,,0,0.0,2016-07-01,2016-07-01,,
REDLANDS,1,0.0,0.0,0.0,100.0,,,,0,0.0,2010-11-16,2010-11-16,0.0,
NEWMAN,1,0.0,0.0,0.0,100.0,387.36,387.36,,0,0.0,2014-09-03,2014-09-03,0.0,
NORTH HILLS,4,,0.0,0.0,0.0,,,,0,0.0,2015-06-22,2015-07-08,,
SAUSALITO,15,70.0,0.0,61.3,0.0,353.62,539.8353333333333,,2,13.3,2008-05-14,2018-08-07,0.0,71.0
DOWNEY,1,0.0,0.0,0.0,100.0,273.57,273.57,,0,0.0,2019-07-22,2019-07-22,,
SANTA CLARA,50,,0.0,0.0,0.0,434.775,765.6912,10000.0,1,2.0,,,0.0,0.0
PACIFIC PALISADES,4,,0.0,0.0,0.0,,,,0,0.0,2015-09-25,2016-04-29,,
SUNLAND,2,,0.0,0.0,0.0,,,,0,0.0,2016-06-14,2016-06-14,,
UNION CITY,1,,0.0,0.0,0.0,3365.2,3365.2,389918.0,0,0.0,2010-09-30,2010-09-30,0.0,
SUN VALLEY,2,,0.0,0.0,0.0,,,,0,0.0,2016-02-26,2016-02-26,,
CAMPBELL,1,0.0,0.0,0.0,100.0,,,22000.0,0,0.0,2012-10-17,2012-10-17,0.0,
CULVER CITY,1,,0.0,0.0,0.0,,,,0,0.0,2015-12-16,2015-12-16,,
CANOGA PARK,1,,0.0,0.0,0.0,,,,0,0.0,2015-06-01,2015-06-01,,
WILMINGTON,2,,0.0,0.0,0.0,,,,0,0.0,2015-09-25,2015-09-25,,
BAKERSFIELD,3,0.0,0.0,4.7,100.0,325.5,375.5,,0,0.0,2014-06-02,2014-06-02,0.0,
BEAUMONT,3,0.0,0.0,19.3,100.0,,,,0,0.0,2010-05-18,2011-04-19,29.0,
RICHMOND,11,1.0,2.0,18.0,36.4,,,,0,0.0,2009-10-16,2015-02-02,2.0,
MORGAN HILL,1,4.0,4.0,4.0,0.0,0.0,0.0,,0,0.0,2012-02-27,2012-02-27,,
TWAIN HARTE,5,0.5,4.0,31.8,40.0,,,,0,0.0,2015-07-08,2017-05-09,4.0,
CHOWCHILLA,1,6.0,6.0,6.0,0.0,387.75,387.75,,0,0.0,2018-06-26,2018-06-26,6.0,
LE GRAND,29,0.0,7.0,16.6,79.3,387.32,393.8006896551724,,0,0.0,2013-05-14,2018-01-23,7.0,
BLOOMINGTON,4,6.0,7.0,13.8,0.0,,,,0,0.0,2015-11-03,2016-05-05,7.0,
BROOKS,1,2.0,8.0,8.0,0.0,,,,0,0.0,2015-10-23,2015-10-23,8.0,
SOUTH DOS PALOS,1,0.0,9.0,9.0,100.0,387.17,387.17,,0,0.0,2015-02-10,2015-02-10,9.0,
EL NIDO,2,3.5,10.0,10.0,50.0,386.74,386.74,,0,0.0,2015-12-18,2017-05-31,10.0,
SOULSBYVILLE,12,0.0,10.5,20.0,75.0,,,,0,0.0,2013-12-10,2017-04-03,10.5,
NORTH HOLLYWOOD,4,,10.5,91.2,0.0,,,,0,0.0,2015-06-22,2017-02-27,,
SACRAMENTO,1,0.0,12.0,12.0,100.0,255.61,255.61,6037.5,0,0.0,2017-07-13,2017-07-13,,
FONTANA,213,5.0,12.0,31.5,15.5,175.0,165.195,,1,0.5,2015-05-05,2018-01-04,13.0,20.0
PLANADA,38,0.0,12.0,19.2,78.9,386.905,384.3936842105263,,0,0.0,2011-02-23,2018-03-09,12.0,
DOS PALOS,24,0.0,12.5,25.3,75.0,387.6,386.0854166666666,,0,0.0,2013-11-01,2017-03-24,12.5,
RANCHO CUCAMONGA,9,17.5,13.0,20.1,22.2,591.0,452.8833333333333,,0,0.0,2010-03-08,2013-10-02,22.0,
EL SOBRANTE,2,1.0,13.0,13.0,0.0,,,,0,0.0,2015-01-27,2015-01-27,13.0,
STEVINSON,9,0.0,13.0,15.6,77.8,388.06,388.1022222222222,,0,0.0,2014-01-30,2016-07-12,13.0,
JURUPA VALLEY,4,0.0,13.5,19.5,75.0,,,0.0,0,0.0,2010-02-22,2010-11-16,27.0,
JAMESTOWN,30,0.0,14.0,31.7,76.7,,,,0,0.0,2012-08-10,2017-10-06,14.0,
ATWATER,172,0.0,14.0,28.3,60.5,387.77,414.4683720930232,,0,0.0,2011-07-13,2018-09-24,14.0,
DUNNIGAN,3,6.0,15.0,28.3,33.3,,,,0,0.0,2016-05-09,2018-04-10,15.0,
GUSTINE,57,0.0,16.0,29.9,68.4,386.97,402.0821052631579,,0,0.0,2011-12-19,2018-06-26,16.0,
MILPITAS,101,0.0,16.0,35.0,97.0,154.08,151.0971287128713,,0,0.0,2014-01-15,2017-03-06,22.0,
GROVELAND,63,0.0,17.0,40.3,81.0,,,,0,0.0,2013-08-02,2017-11-09,17.0,
LIVINGSTON,24,0.0,17.0,51.1,62.5,388.095,442.49375000000003,,0,0.0,2013-07-23,2016-11-08,17.0,
LA GRANGE,15,0.0,18.0,23.1,73.3,,,,0,0.0,2014-03-21,2016-11-01,18.0,
COLUMBIA,4,0.0,20.0,28.8,100.0,,,,0,0.0,2015-04-06,2017-04-13,20.0,
SNELLING,1,0.0,21.0,21.0,100.0,386.65,386.65,,0,0.0,2015-07-14,2015-07-14,21.0,
MERCED,180,0.0,21.5,37.9,68.3,387.505,389.1031111111111,,1,0.6,2012-09-19,2018-07-17,23.5,
