zipcode,install_count,avg_kw,median_kw,min_kw,max_kw,total_kw,city,state,ghi_annual,dni_annual,tilt_annual,avg_annual_kwh,electricity_rate_per_kwh,avg_annual_savings_usd,avg_pct_consumption_offset
0000 ,20,7.950916666666667,7.5600000000000005,2.76,17.6,159.01833333333335,UPLAND,CA,5.38,6.33,6.14,14255.0,0.245,3492.48,100.0
00000,215,7.290031007751939,6.4,1.7333333333333334,45.6,1567.3566666666668,SPOKANE,WA,3.95,4.78,4.72,10047.0,0.119,1195.59,95.7
00946,1,2.0,2.0,2.0,2.0,2.0,OAKLAND,CA,4.86,5.03,5.55,3241.0,0.245,794.04,30.9
00nan,2060,10.725441585760517,7.3125,0.7999999999999999,100.0,22094.409666666666,SEAL BEACH,CA,5.93,8.38,6.9,21610.0,0.245,5294.45,100.0
07302,3,6.150000000000001,6.15,6.15,6.15,18.450000000000003,JERSEY CITY,NJ,3.93,3.79,4.62,8297.0,0.1842,1528.31,79.0
07304,44,13.13814393939394,6.56,4.05,61.48,578.0783333333334,JERSEY CITY,NJ,3.93,3.79,4.62,17724.0,0.1842,3264.76,100.0
07305,50,10.3919,7.74,3.52,64.19,519.595,JERSEY CITY,NJ,3.93,3.79,4.62,14019.0,0.1842,2582.3,100.0
07306,6,9.483055555555556,11.399999999999999,2.765,13.2,56.89833333333333,JERSEY CITY,NJ,3.93,3.79,4.62,12793.0,0.1842,2356.47,100.0
20723,12,9.009722222222221,9.555,6.15,12.6,108.11666666666666,LAUREL,MD,4.12,4.11,4.82,12681.0,0.1607,2037.84,100.0
20759,1,24.0,24.0,24.0,24.0,24.0,FULTON,MD,4.13,4.16,4.84,33919.0,0.1607,5450.78,100.0
20777,1,20.61,20.61,20.61,20.61,20.61,HIGHLAND,MD,4.13,4.16,4.84,29128.0,0.1607,4680.87,100.0
20794,3,9.62,10.0,8.2,10.66,28.86,JESSUP,MD,4.12,4.11,4.82,13540.0,0.1607,2175.88,100.0
21001,90,11.064777777777778,10.12,2.64,30.0,995.83,ABERDEEN,MD,4.09,4.08,4.79,15476.0,0.1607,2486.99,100.0
21009,39,12.311538461538461,10.0,2.025,63.0,480.15,ABINGDON,MD,4.11,4.1,4.82,17328.0,0.1607,2784.61,100.0
