zipcode,records_installs,total_kw,avg_kw,installer_installs,city,state,population,households,ghi_annual,dni_annual,tilt_annual,total_installs,installs_per_1k_residents
LOS A,,,,7542.0,,,,,,,,7542,
PORT ,,,,4716.0,,,,,,,,4716,
00nan,2107.0,39290.633,18.647666350261037,1884.0,SEAL BEACH,CA,,,5.93,8.38,6.9,3991,
PEORI,,,,3113.0,,,,,,,,3113,
SUN C,,,,2705.0,,,,,,,,2705,
SAN D,,,,2637.0,,,,,,,,2637,
FORT ,,,,2273.0,,,,,,,,2273,
93230,1597.0,13245.6,8.294051346274264,643.0,HANFORD,CA,69684.0,27543.0,5.34,6.32,5.98,2240,32.15
DENVE,,,,2095.0,,,,,,,,2095,
CHICA,,,,2040.0,,,,,,,,2040,
NEW Y,,,,1989.0,,,,,,,,1989,
BUCKE,,,,1908.0,,,,,,,,1908,
PUNTA,,,,1874.0,,,,,,,,1874,
BELLE,,,,1832.0,,,,,,,,1832,
AUSTI,,,,1769.0,,,,,,,,1769,
PHOEN,,,,1618.0,,,,,,,,1618,
BAKER,,,,1583.0,,,,,,,,1583,
TUCSO,,,,1460.0,,,,,,,,1460,
94523,1226.0,16800.459,13.703473898858075,2.0,PLEASANT HILL,CA,34592.0,13673.0,5.05,5.59,5.76,1228,35.5
SAN A,,,,1214.0,,,,,,,,1214,
EL PA,,,,1140.0,,,,,,,,1140,
PEMBR,,,,1051.0,,,,,,,,1051,
NORTH,,,,1003.0,,,,,,,,1003,
CHAND,,,,990.0,,,,,,,,990,
10462,,,,976.0,,,76320.0,30166.0,,,,976,12.79
DALLA,,,,963.0,,,,,,,,963,
94941,917.0,7973.858,8.695592148309705,23.0,MILL VALLEY,CA,32706.0,12927.0,4.46,4.37,5.09,940,28.74
COLUM,,,,912.0,,,,,,,,912,
KISSI,,,,911.0,,,,,,,,911,
92253,718.0,9926.658666666666,13.825429897864439,168.0,LA QUINTA,CA,38666.0,15283.0,5.83,7.6,6.74,886,22.91
85338,,,,877.0,,,67451.0,26660.0,,,,877,13.0
94903,793.0,6960.823,8.777834804539722,50.0,SAN RAFAEL,CA,30615.0,12101.0,4.97,5.45,5.68,843,27.54
92203,833.0,10930.664,13.1220456182473,,INDIO,CA,34735.0,13729.0,5.84,7.65,6.77,833,23.98
92201,817.0,8847.578666666666,10.829349653202774,,INDIO,CA,65825.0,26018.0,5.84,7.65,6.77,817,12.41
MEMPH,,,,804.0,,,,,,,,804,
OMAHA,,,,803.0,,,,,,,,803,
95020,755.0,11586.851,15.346822516556292,48.0,GILROY,CA,67181.0,26554.0,5.13,5.98,5.9,803,11.95
MIAMI,,,,769.0,,,,,,,,769,
WILMI,,,,766.0,,,,,,,,766,
