year_month,installs,kw_installed,unique_zips,cumulative_installs,rolling_3m_installs
1972-08,1,0.0,1,1,1.0
1973-09,1,0.0,1,2,1.0
1989-03,4,0.0,2,6,2.0
1989-04,1,0.0,1,7,2.0
1989-06,4,0.0,2,11,3.0
1989-08,1,0.0,1,12,2.0
1989-11,1,0.0,1,13,2.0
1990-10,1,0.0,1,14,1.0
1991-01,1,0.0,1,15,1.0
1991-04,1,0.0,1,16,1.0
1992-08,4,0.0,2,20,2.0
1992-10,1,0.0,1,21,2.0
1992-12,2,0.0,1,23,2.3
1993-04,1,0.0,1,24,1.3
1993-06,1,0.0,1,25,1.3
1993-07,1,0.0,1,26,1.0
1993-08,1,0.0,1,27,1.0
1993-10,1,0.0,1,28,1.0
1993-11,2,0.0,2,30,1.3
1994-04,2,0.0,2,32,1.7
1994-06,2,0.0,1,34,2.0
1994-07,2,0.0,1,36,2.0
1994-08,1,0.0,1,37,1.7
1994-10,3,0.0,2,40,2.0
1994-11,1,0.0,1,41,1.7
1994-12,3,0.0,3,44,2.3
1995-02,1,0.0,1,45,1.7
1995-04,3,0.0,2,48,2.3
1995-05,2,0.0,2,50,2.0
1995-06,3,0.0,2,53,2.7
1995-08,1,0.0,1,54,2.0
1995-09,1,0.0,1,55,1.7
1996-02,3,0.0,2,58,1.7
1996-04,1,0.0,1,59,1.7
1996-07,1,0.0,1,60,1.7
1996-08,3,0.0,1,63,1.7
1996-10,1,0.0,1,64,1.7
1997-01,1,0.0,1,65,1.7
1997-02,1,0.0,1,66,1.0
1997-03,2,0.0,1,68,1.3
1997-04,2,0.0,1,70,1.7
1997-05,2,0.0,2,72,2.0
1997-08,5,0.0,1,77,3.0
1997-11,2,0.0,2,79,3.0
1998-01,2,0.0,1,81,3.0
1998-02,1,0.0,1,82,1.7
1998-03,1,0.0,1,83,1.3
1998-04,2,0.0,1,85,1.3
1998-05,3,0.0,1,88,2.0
1998-06,3,0.0,1,91,2.7
1998-07,1,0.0,1,92,2.3
1998-08,2,0.0,2,94,2.0
1998-09,1,0.0,1,95,1.3
1998-10,3,0.0,1,98,2.0
1998-11,2,0.0,1,100,2.0
1999-01,5,0.0,3,105,3.3
1999-02,1,0.0,1,106,2.7
1999-04,1,0.0,1,107,2.3
1999-05,3,0.0,2,110,1.7
1999-06,4,0.0,3,114,2.7
1999-07,1,0.0,1,115,2.7
1999-08,1,0.0,1,116,2.0
1999-09,4,0.0,2,120,2.0
1999-10,1,0.0,1,121,2.0
1999-12,2,0.0,2,123,2.3
2000-01,10,0.0,7,133,4.3
2000-02,15,0.0,7,148,9.0
2000-03,7,0.0,4,155,10.7
2000-04,15,0.0,8,170,12.3
2000-05,19,0.0,6,189,13.7
2000-06,9,0.0,3,198,14.3
2000-07,15,0.0,5,213,14.3
2000-08,18,0.0,10,231,14.0
2000-09,5,0.0,4,236,12.7
2000-10,7,0.0,5,243,10.0
2000-11,15,0.0,8,258,9.0
2000-12,13,0.0,8,271,11.7
2001-01,10,0.0,6,281,12.7
2001-02,7,0.0,6,288,10.0
2001-03,11,0.0,7,299,9.3
2001-04,9,0.0,7,308,9.0
2001-05,6,0.0,2,314,8.7
2001-06,10,0.0,5,324,8.3
2001-07,10,0.0,7,334,8.7
2001-08,12,0.0,6,346,10.7
2001-09,16,0.0,9,362,12.7
2001-10,9,0.0,4,371,12.3
2001-11,12,0.0,6,383,12.3
2001-12,6,0.0,5,389,9.0
2002-01,6,0.0,3,395,8.0
2002-02,11,0.0,5,406,7.7
2002-03,12,0.0,6,418,9.7
2002-04,18,0.0,14,436,13.7
2002-05,10,0.0,4,446,13.3
2002-06,12,0.0,11,458,13.3
2002-07,16,0.0,9,474,12.7
2002-08,43,0.0,11,517,23.7
2002-09,12,0.0,8,529,23.7
2002-10,15,0.0,7,544,23.3
2002-11,9,0.0,4,553,12.0
2002-12,23,0.0,5,576,15.7
2003-01,23,0.0,8,599,18.3
2003-02,11,0.0,7,610,19.0
2003-03,16,0.0,9,626,16.7
2003-04,20,0.0,9,646,15.7
2003-05,22,0.0,10,668,19.3
