zipcode,city,state,population,ghi_annual,dni_annual,tilt_annual,irr_source,install_count,avg_kw,kw_source,electricity_rate_per_kwh,avg_annual_kwh,avg_annual_savings_usd,avg_pct_consumption_offset
99501,Anchorage,AK,16563.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99502,Anchorage,AK,26110.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99503,Anchorage,AK,12944.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99504,Anchorage,AK,41684.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99505,Jber,AK,5425.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99506,Jber,AK,7051.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99507,Anchorage,AK,36300.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99508,Anchorage,AK,36660.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99509,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99510,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99511,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99513,Anchorage,AK,0.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99514,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99515,Anchorage,AK,21879.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99516,Anchorage,AK,21208.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99517,Anchorage,AK,16567.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99518,Anchorage,AK,9837.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99519,Anchorage,AK,1622.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99520,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99521,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99522,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99523,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99524,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99529,Anchorage,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99530,Anchorage,AK,0.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99540,Indian,AK,354.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99545,Kongiganak,AK,,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99546,Adak,AK,141.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99547,Atka,AK,26.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99548,Chignik Lake,AK,31.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99549,Port Heiden,AK,73.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99550,Port Lions,AK,151.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99551,Akiachak,AK,629.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99552,Akiak,AK,273.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99553,Akutan,AK,737.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99554,Alakanuk,AK,997.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99555,Aleknagik,AK,109.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99556,Anchor Point,AK,2858.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99557,Aniak,AK,707.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99558,Anvik,AK,85.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99559,Bethel,AK,7272.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
99561,Chefornak,AK,530.0,,,,constant,,10.148,national_mean,0.2482,13334.0,3309.5,100.0
