state,res_revenue_kd,res_sales_mwh,res_customers,rate_per_kwh
HI,1136577.5,2651594.0,466451.0,0.42863933920502156
CA,17294040.5,59665813.0,8619813.0,0.2898484011271245
CT,2836979.2,9933859.0,1246469.0,0.28558681978473827
RI,666694.1000000001,2375378.0,344218.0,0.28066863463415087
MA,2407009.6,9151853.0,1290266.0,0.2630078957780463
AK,513968.0,2070594.0,298397.0,0.2482224907442019
ME,1067062.2000000002,4470105.0,676615.0,0.2387107685389941
NY,11052300.1,46503935.0,6780804.0,0.23766376114193347
NH,711829.9,3125753.0,426536.0,0.22773069401197088
VT,488488.1,2230155.0,323960.0,0.21903773504532195
MI,6466055.3999999985,33504787.0,4516346.0,0.19298900184024445
NJ,5384698.5,28198451.0,3535770.0,0.1909572444245253
MD,4253858.2,24278910.0,2162409.0,0.1752079562056122
PA,7033900.1,40810089.0,4249641.0,0.17235689194404843
WI,3783444.7,22016559.0,2843874.0,0.17184541417212382
DC,337088.70000000007,2034360.0,286500.0,0.16569766413024248
OH,3707816.8,22492853.0,2157510.0,0.1648442196283415
DE,800939.0,4901841.0,446576.0,0.16339554873362885
MN,3408955.0,22062758.0,2581180.0,0.15451173420838862
AL,4993058.3,32899071.0,2398172.0,0.15176897548262078
IL,4939527.3,32637861.0,4046611.0,0.1513434749905945
WV,1609064.2000000002,10674503.0,866456.0,0.15073902738141534
NV,2194081.3000000003,14631493.0,1311755.0,0.14995607761969337
CO,3086848.4999999995,20693690.0,2558783.0,0.14916858713936468
AZ,6027533.9,40434931.0,3151652.0,0.14906749562649185
IN,4879873.399999999,33048641.0,3056216.0,0.14765730911597846
OR,2905554.7,19767745.0,1868012.0,0.14698463077098578
VA,6524032.6,45272825.0,3654481.0,0.14410482668134802
SC,4632120.5,32544816.0,2581882.0,0.14233051740098945
NM,1043282.7,7347620.0,936133.0,0.14198920194566403
KS,1958283.7,13839989.0,1317095.0,0.14149459945380014
FL,19561173.6,138370720.0,10448461.0,0.14136786742166263
NC,8726608.1,61744942.0,5067762.0,0.1413331653951509
GA,8740025.700000001,62062953.0,4815501.0,0.14082516666585299
IA,1939174.5999999999,14468850.0,1448818.0,0.1340241000494165
MS,2490447.3,18593201.0,1340459.0,0.13394397769378172
MO,4548192.399999999,35226895.0,2933914.0,0.12911136221344513
SD,664939.1000000001,5170067.0,433548.0,0.12861324621131603
TX,9343940.6,72983548.0,5556903.0,0.12802803996319828
KY,3335307.6999999997,26085709.0,2077215.0,0.12785957629137087
MT,721808.6000000001,5700236.0,557430.0,0.1266278448822119
WY,370054.30000000005,2968051.0,286475.0,0.12467922552543742
TN,5445099.8,43827503.0,3166103.0,0.12423933437412576
AR,2288691.4000000004,18580638.0,1476944.0,0.12317614712691784
OK,2977075.4,24328279.0,1878818.0,0.1223709823452781
UT,1444460.7,11825248.0,1272863.0,0.12215056293111146
WA,4595906.3,38626766.0,3368978.0,0.11898242529545444
LA,3633012.3000000007,30974840.0,2147751.0,0.11728913853953728
NE,1198160.5,10391014.0,905415.0,0.11530737038752907
ID,1132688.2,9832269.0,868141.0,0.11520109956308151
ND,565146.1000000001,4910755.0,397839.0,0.11508334258174152
