year_month,year,month,source,count
2010-01,2010,1,solarcity,5
2010-01,2010,1,sullivan,9
2010-01,2010,1,titan,54
2010-02,2010,2,solarcity,16
2010-02,2010,2,sullivan,7
2010-02,2010,2,sunrun,8
2010-02,2010,2,titan,72
2010-03,2010,3,solarcity,4
2010-03,2010,3,sullivan,8
2010-03,2010,3,sunrun,19
2010-03,2010,3,titan,96
2010-04,2010,4,solarcity,12
2010-04,2010,4,sullivan,11
2010-04,2010,4,sunrun,16
2010-04,2010,4,titan,76
2010-05,2010,5,solarcity,7
2010-05,2010,5,sullivan,7
2010-05,2010,5,sunrun,11
2010-05,2010,5,titan,57
2010-06,2010,6,solarcity,4
2010-06,2010,6,sullivan,5
2010-06,2010,6,sunrun,26
2010-06,2010,6,titan,82
2010-07,2010,7,solarcity,14
2010-07,2010,7,sullivan,7
2010-07,2010,7,sunrun,20
2010-07,2010,7,titan,83
2010-08,2010,8,solarcity,8
2010-08,2010,8,sullivan,6
2010-08,2010,8,sunrun,9
2010-08,2010,8,titan,76
2010-09,2010,9,solarcity,8
2010-09,2010,9,sullivan,9
2010-09,2010,9,sunrun,13
2010-09,2010,9,titan,83
2010-10,2010,10,solarcity,11
2010-10,2010,10,sullivan,8
2010-10,2010,10,sunrun,14
2010-10,2010,10,titan,74
2010-11,2010,11,solarcity,14
2010-11,2010,11,sullivan,16
2010-11,2010,11,sunrun,22
2010-11,2010,11,titan,94
2010-12,2010,12,solarcity,8
2010-12,2010,12,sullivan,6
2010-12,2010,12,sunrun,13
2010-12,2010,12,titan,100
2011-01,2011,1,solarcity,14
2011-01,2011,1,sullivan,13
2011-01,2011,1,sunrun,14
2011-01,2011,1,titan,83
2011-02,2011,2,solarcity,26
2011-02,2011,2,sullivan,11
2011-02,2011,2,sunrun,13
2011-02,2011,2,titan,57
2011-03,2011,3,solarcity,11
2011-03,2011,3,sullivan,12
2011-03,2011,3,sunrun,13
2011-03,2011,3,titan,111
2011-04,2011,4,solarcity,7
2011-04,2011,4,sullivan,9
2011-04,2011,4,sunrun,18
2011-04,2011,4,titan,80
2011-05,2011,5,solarcity,14
2011-05,2011,5,sullivan,8
2011-05,2011,5,sunrun,11
2011-05,2011,5,titan,87
2011-06,2011,6,solarcity,7
2011-06,2011,6,sullivan,9
2011-06,2011,6,sunrun,16
2011-06,2011,6,titan,162
2011-07,2011,7,solarcity,8
2011-07,2011,7,sullivan,9
2011-07,2011,7,sunrun,11
2011-07,2011,7,titan,117
2011-08,2011,8,solarcity,8
2011-08,2011,8,sullivan,8
2011-08,2011,8,sunrun,10
2011-08,2011,8,titan,114
2011-09,2011,9,solarcity,5
2011-09,2011,9,sullivan,6
2011-09,2011,9,sunrun,16
2011-09,2011,9,titan,99
2011-10,2011,10,solarcity,17
2011-10,2011,10,sullivan,12
2011-10,2011,10,sunrun,18
2011-10,2011,10,titan,70
2011-11,2011,11,solarcity,5
2011-11,2011,11,sullivan,32
2011-11,2011,11,sunrun,15
2011-11,2011,11,titan,87
2011-12,2011,12,solarcity,12
2011-12,2011,12,sullivan,14
2011-12,2011,12,sunrun,14
2011-12,2011,12,titan,96
2012-01,2012,1,solarcity,14
2012-01,2012,1,sullivan,31
2012-01,2012,1,sunrun,7
2012-01,2012,1,titan,138
2012-02,2012,2,solarcity,11
2012-02,2012,2,sullivan,22
2012-02,2012,2,sunrun,10
2012-02,2012,2,titan,83
